"Radiohead","Karma Police"
"Daft Punk","Get Lucky"
"Arctic Monkeys","Do I Wanna Know?"
"Billie Eilish","bad guy"
"Tame Impala","The Less I Know The Better"
"Imagine Dragons","Radioactive"
"Foo Fighters","Everlong"
"Red Hot Chili Peppers","Californication"
"Oasis","Wonderwall"
"Coldplay","Yellow"
"U2","Beautiful Day"
"Kings Of Leon","Use Somebody"
"Queen","Don't Stop Me Now"
"The Beatles","Here Comes The Sun"
"David Bowie","Heroes"
"Elton John","Rocket Man"
"Fleetwood Mac","Go Your Own Way"
"Bob Dylan","Like a Rolling Stone"
"Led Zeppelin","Stairway to Heaven"
"Pink Floyd","Wish You Were Here"
"The Rolling Stones","Paint It, Black"
"The Who","Baba O'Riley"
"AC/DC","Back In Black"
"Metallica","Enter Sandman"
"Nirvana","Smells Like Teen Spirit"
"Pearl Jam","Alive"
"Soundgarden","Black Hole Sun"
"R.E.M.","Losing My Religion"
"The Police","Every Breath You Take"
"The Clash","London Calling"
"Joy Division","Love Will Tear Us Apart"
"The Smiths","There Is a Light That Never Goes Out"
"The Cure","Just Like Heaven"
"Depeche Mode","Enjoy the Silence"
"New Order","Blue Monday"
"Talking Heads","Once in a Lifetime"
"Blur","Song 2"
"The White Stripes","Seven Nation Army"
"The Strokes","Last Nite"
"MGMT","Kids"